Jahr,Beschäftigtengrößenklassen,Bundesländer,Rechtliche Einheiten Anzahl,WZ2008 (Abschnitte): URS
2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,137,Bergbau und Gewinnung von Steinen und Erden
2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,26051,Verarbeitendes Gewerbe
2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,9706,Energieversorgung
2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,1212,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm."
2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,42926,Baugewerbe
2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,67434,"Handel, Instandhaltung und Reparatur von Kfz"
2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,9867,Verkehr und Lagerei
2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,28463,Gastgewerbe
2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,14968,Information und Kommunikation
2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,10656,Erbringung von Finanz- und Versicherungsleistungen
2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,26714,Grundstücks- und Wohnungswesen
